key,state_name,state,city,police_department,total,white,black,native,asian,hawaiian,asianpacificislander,other,two_races,hispanic,black_victims_2012,Unarmed Black,Unarmed White,Unarmed Hispanic,Unarmed Native American,Unarmed Asian/Pacific Islander,Unarmed Unknown,All Unarmed,Rate of Unarmed Black,Rate of Unarmed White,Rate of Unarmed Hispanic,Rate of Unarmed Native American,Rate of Unarmed Asian/Pacific Islander,Rate of All Unarmed,Black Victims,White Victims,Hispanic Victims,Asian/Pacific Islander Victims,Victims of Unknown Race,All,Percent of Victims Black,Rate of All Police Killings per 1M,Rate of Police Killings of Black People per 1M,Rate of Police Killings of White People per 1M,Rate of Police Killings of Hispanic People per 1M,Rate of Police Killings of Asian People per 1M,murder_rate,violent_crime_rate,population,violent_crime,murder_and_manslaughter,Black Armed,White Armed,Hispanic Armed,Asian/Pacific Islander Armed,Unknown Armed,Black Male Police Homicide Rate
81,Nevada,NV,Reno,Reno PD,225221,140752,5990,2066,13913,1505,15418,441,5914,54640,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,2.0,,,1.0,3,0,13.3,0.0,14.2,0,0.0,5.6,5.0,232561,1154,13,0,2,0,0,1,0.0
82,New York,NY,Buffalo,Buffalo PD,261310,119801,97637,1597,8313,79,8392,445,5919,27519,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,18.2,12.6,258789,3249,47,0,0,0,0,0,0.0
83,New York,NY,Rochester,Rochester PD,210565,79178,83346,666,6350,77,6427,392,6100,34456,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,19.9,10.0,210562,2107,42,0,0,0,0,0,0.0
84,Ohio,OH,Toledo,Toledo PD,287208,176468,76820,755,3204,64,3268,522,8144,21231,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,9.9,10.3,283035,2902,28,0,0,0,0,0,0.0
85,Oregon,OR,Portland,Portland Police Bureau,583776,421773,35462,4381,41335,2978,44313,1299,21708,54840,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,2.0,,,,2,0,3.4,0.0,4.7,0,0.0,2.3,4.8,609136,2941,14,0,2,0,0,0,0.0
86,Pennsylvania,PA,Pittsburgh,Pittsburgh PD,305704,198186,78847,505,13393,76,13469,843,6890,6964,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,14.6,7.3,307632,2259,45,0,0,0,0,0,0.0
87,Texas,TX,Arlington,Arlington PD,365438,164022,67087,1338,24564,373,24937,597,7188,100269,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,4.8,4.8,378765,1837,18,0,0,0,0,0,0.0
88,Texas,TX,Austin,Austin PD,790390,385271,60760,1967,49159,401,49560,1448,13677,277707,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,3.0,,,,3,0,3.8,0.0,7.8,0,0.0,3.0,3.6,859180,3123,26,0,3,0,0,0,0.0
89,Texas,TX,Corpus Christi,Corpus Christi PD,305215,101593,11912,792,5398,204,5602,369,2766,182181,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,5.7,6.2,314523,1939,18,0,0,0,0,0,0.0
90,Texas,TX,El Paso,El Paso PD,649121,92426,18155,1633,7092,737,7829,543,4814,523721,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,1.0,,,1,0,1.5,0.0,0.0,1.9,0.0,1.5,3.7,679700,2522,10,0,0,1,0,0,0.0
91,Texas,TX,Fort Worth,Fort Worth PD,741206,309312,136941,2481,27095,615,27710,993,11301,252468,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,2.0,1.0,,1.0,4,0,5.4,0.0,6.5,4,0.0,6.1,5.6,789035,4420,48,0,2,1,0,1,0.0
92,Texas,TX,Irving,Irving PD,216290,66559,25550,807,30161,221,30382,434,3591,88967,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,1.0,,1,0,4.6,0.0,0.0,0,32.91422553,0.9,2.3,228367,530,2,0,0,0,1,0,0.0
93,Texas,TX,Laredo,Laredo PD,236091,8086,478,87,1313,11,1324,121,245,225750,,,,1.0,,,,1,0.0,0.0,4.43,0,0.0,4.24,,,1.0,,,1,0,4.2,0.0,0.0,11.2,0.0,1.2,4.2,247353,1027,3,0,0,0,0,0,0.0
94,Texas,TX,Lubbock,Lubbock PD,229573,127915,18744,845,5471,147,5618,241,2585,73625,,,2.0,,,,,2,0.0,15.64,0.0,0,0.0,8.71,,1.0,2.0,,,3,0,13.1,0.0,7.8,8.9,0.0,2.1,7.7,237875,1829,5,0,-1,2,0,0,0.0
95,Texas,TX,Plano,Plano PD,259841,151629,19199,831,43659,121,43780,449,5779,38174,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,1.1,1.4,275795,389,3,0,0,0,0,0,0.0
96,Virginia,VA,Chesapeake,Chesapeake PD,222209,134251,65204,720,6289,147,6436,266,5626,9706,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,3.9,3.2,230577,737,9,0,0,0,0,0,0.0
97,Virginia,VA,Virginia Beach,Virginia Beach PD,437994,282470,83210,1349,26312,602,26914,863,14201,28987,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0,0.0,3.8,1.6,450687,730,17,0,0,0,0,0,0.0
98,Washington,WA,Seattle,Seattle PD,608660,403578,47113,3881,83537,2246,85783,1464,26512,40329,,,1.0,,,,,1,0.0,2.48,0.0,0,0.0,1.64,,5.0,1.0,,1.0,7,0,11.5,0.0,12.4,24.8,0.0,3.0,5.8,642814,3758,19,0,4,1,0,1,0.0
99,Washington,WA,Spokane,Spokane PD,208916,175482,4643,3663,5266,1152,6418,281,7962,10467,,,1.0,,,,,1,0.0,5.7,0.0,0,0.0,4.79,,3.0,,,,3,0,14.4,0.0,17.1,0,0.0,5.2,6.9,209524,1440,11,0,2,0,0,0,0.0
