key,state_name,state,city,police_department,total,white,black,native,asian,hawaiian,asianpacificislander,other,two_races,hispanic,black_victims_2012,Unarmed Black,Unarmed White,Unarmed Hispanic,Unarmed Native American,Unarmed Asian/Pacific Islander,Unarmed Unknown,All Unarmed,Rate of Unarmed Black,Rate of Unarmed White,Rate of Unarmed Hispanic,Rate of Unarmed Native American,Rate of Unarmed Asian/Pacific Islander,Rate of All Unarmed,Black Victims,White Victims,Hispanic Victims,Asian/Pacific Islander Victims,Victims of Unknown Race,All,Percent of Victims Black,Rate of All Police Killings per 1M,Rate of Police Killings of Black People per 1M,Rate of Police Killings of White People per 1M,Rate of Police Killings of Hispanic People per 1M,Rate of Police Killings of Asian People per 1M,murder_rate,violent_crime_rate,population,violent_crime,murder_and_manslaughter,Black Armed,White Armed,Hispanic Armed,Asian/Pacific Islander Armed,Unknown Armed,Black Male Police Homicide Rate
17,Kansas,KS,Wichita,Wichita PD,382368,246744,42676,3424,18272,311,18583,472,12121,58348,,0.0,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,1.0,2.0,,,,3,33,7.8,23.4,8.1,0,0.0,3.9,7.9,386486,3065,15,1,2,0,0,0,46.86474834
18,California,CA,San Francisco,San Francisco PD,805235,337451,46781,1828,265700,3128,268828,2494,26079,121774,,0.0,,0.0,,,,0,0.0,0.0,0.0,0,0.0,0.0,1.0,,2.0,,,3,33,3.7,21.4,0.0,16.4,0.0,5.8,8.5,833863,7064,48,1,0,2,0,0,42.75239948
19,Virginia,VA,Norfolk,Norfolk PD,242803,107463,102452,935,7861,359,8220,471,7118,16144,,0.0,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,2.0,1.0,,,,3,67,12.4,19.5,9.3,0,0.0,11.3,5.7,247303,1418,28,2,1,0,0,0,39.04267364
20,Alabama,AL,Birmingham,Birmingham PD,212237,44819,155258,361,2132,48,2180,150,1765,7704,,1.0,,,,,,1,6.44,0.0,0.0,0,0.0,4.71,3.0,,,,,3,100,14.1,19.3,0.0,0,0.0,29.7,13.5,212001,2852,63,2,0,0,0,0,38.64535161
21,Ohio,OH,Columbus,Columbus Police Division,787033,466615,217694,1643,31734,462,32196,2032,22494,44359,4.0,1.0,,,,,,1,4.59,0.0,0.0,0,0.0,1.27,4.0,1.0,,,,5,80,6.4,18.4,2.1,0,0.0,10.9,5.1,201165,1022,22,3,1,0,0,0,36.74883093
22,Nebraska,NE,Omaha,Omaha PD,408958,278172,55128,2263,9889,253,10142,806,8894,53553,,1.0,,,,,,1,18.14,0.0,0.0,0,0.0,2.45,1.0,2.0,,,,3,33,7.3,18.1,7.2,0,0.0,9.9,5.8,425076,2449,42,0,2,0,0,0,36.27920476
23,Florida,FL,Jacksonville,Jacksonville Sheriff's Office,821784,452525,247516,2687,34731,668,35399,1949,18223,63485,,1.0,1.0,,,,,2,4.04,2.21,0.0,0,0.0,2.43,4.0,2.0,,,1.0,7,57,8.5,16.2,4.4,0,0.0,11.0,6.2,845745,5246,93,3,1,0,0,1,32.32114288
24,Illinois,IL,Chicago,Chicago PD,2695598,854717,872286,4097,144903,557,145460,4227,35949,778862,14.0,3.0,,1.0,,,,4,3.44,0.0,1.28,0,0.0,1.48,16.0,,6.0,,1.0,23,70,8.5,18.3,0.0,7.7,0.0,15.2,9.0,2720554,24469,414,13,0,5,0,1,36.68521563
25,Florida,FL,Miami,Miami PD,399457,47622,64993,361,3649,58,3707,676,2642,279456,3.0,0.0,,1.0,,,,1,0.0,0.0,3.58,0,0.0,2.5,1.0,,1.0,,,2,50,5.0,15.4,0.0,3.6,0.0,17.0,11.8,418394,4945,71,1,0,0,0,0,30.77254474
26,Ohio,OH,Cincinnati,Cincinnati PD,296943,142831,132307,549,5434,168,5602,721,6625,8308,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,2.0,1.0,,,,3,67,10.1,15.1,7.0,0,0.0,23.6,9.5,296491,2826,70,2,1,0,0,0,30.23271633
27,Kentucky,KY,Louisville,Louisville Metro PD,597337,408157,135138,1289,12764,347,13111,1018,11834,26790,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,3.0,2.0,,,,5,60,8.4,22.2,4.9,0,0.0,7.2,5.4,671120,3644,48,3,2,0,0,0,29.59937249
28,Missouri,MO,Kansas City,Kansas City PD,459787,252257,135916,1823,11275,787,12062,709,11067,45953,,1.0,0.0,,,,,1,7.36,0.0,0.0,0,0.0,2.17,2.0,2.0,,1.0,1.0,6,33,13.0,14.7,7.9,0,82.9,21.3,12.6,465514,5864,99,1,2,0,1,1,29.42994202
29,District of Columbia,DC,Washington,DC Metro PD,601723,209464,301053,1322,20818,216,21034,1451,12650,54749,,1.0,,,,,,1,3.32,0.0,0.0,0,0.0,1.66,4.0,,,,1.0,5,80,8.3,13.3,0.0,0,0.0,15.9,12.2,646449,7880,103,3,0,0,0,1,26.57339405
30,North Carolina,NC,Winston-Salem,Winston-Salem PD,229617,108222,78065,567,4536,138,4674,535,3801,33753,,1.0,,,,,,1,12.81,0.0,0.0,0,0.0,4.36,1.0,,,,,1,100,4.4,12.8,0.0,0,0.0,6.4,6.0,235811,1426,15,0,0,0,0,0,25.61967591
31,Maryland,MD,Baltimore,Baltimore PD,620961,174120,392938,1884,14397,192,14589,942,10528,25960,11.0,2.0,,1.0,,,,3,5.09,0.0,38.52,0,0.0,4.83,5.0,,1.0,,,6,83,9.7,12.7,0.0,38.5,0.0,37.4,14.0,622671,8725,233,3,0,0,0,0,25.44930752
32,Texas,TX,Houston,Houston PD,2099451,537901,485956,3528,124859,711,125570,4128,22700,919668,8.0,4.0,1.0,,,,,5,8.23,1.86,0.0,0,0.0,2.38,6.0,1.0,3.0,1.0,3.0,14,43,6.7,12.3,1.9,3.3,7.963685594,9.8,9.6,2180606,20993,214,2,0,3,1,3,24.69359366
33,Florida,FL,Tampa,Tampa PD,335709,155552,83032,755,11362,207,11569,794,6535,77472,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,,,,2,50,6.0,12.0,6.4,0,0.0,8.0,6.0,351314,2097,28,1,1,0,0,0,24.08709895
34,Tennessee,TN,Nashville,Metro Nashville PD,601222,338782,169272,1418,18497,275,18772,1155,11433,60390,,,,,,,,0,0.0,0.0,0.0,0,0.0,0.0,2.0,,,,1.0,3,67,5.0,11.8,0.0,0,0.0,5.5,10.4,635673,6612,35,2,0,0,0,1,23.63060636
35,Texas,TX,Dallas,Dallas PD,1197816,345205,294159,3167,33609,311,33920,1824,12232,507309,10.0,2.0,1.0,,,,,3,6.8,2.9,0.0,0,0.0,2.5,3.0,8.0,2.0,,1.0,14,21,11.7,10.2,23.2,3.9,0.0,11.4,6.6,1255015,8330,143,1,7,2,0,1,20.39713216
